Sno,HATE_SPEECH,COUNTER_NARRATIVE,TA1,TieBreaker,TA1_Second,TA1_Difficulty,TA1_External,TA2,TA2_Second,TA2_Difficulty,TA2_External,TA1-TA2,Self,GPT4,Majority,From_200_ChatGPT3.5,Notes
1,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,Pointing Out Hypocrisy or Contradictions,,,,,Pointing Out Hypocrisy or Contradictions,,,,TRUE,Pointing Out Hypocrisy or Contradictions,Fact-Checking,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,Fact-Checking
2,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,Warning of Consequences,,Denouncing,,,Denouncing,,,,FALSE,Denouncing,Denouncing,Denouncing,Denouncing,"Positive Tone, Empathy, and Affiliation"
3,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts?,Fact-Checking,,,,,Fact-Checking,,,,TRUE,Fact-Checking,Fact-Checking,Fact-Checking,Fact-Checking,Denouncing
4,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,Fact-Checking,,,,,Fact-Checking,,,,TRUE,Fact-Checking,Fact-Checking,Fact-Checking,Fact-Checking,Pointing Out Hypocrisy or Contradictions
5,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,Fact-Checking,,,,,Fact-Checking,,,,TRUE,Fact-Checking,Fact-Checking,Fact-Checking,Fact-Checking,Humour/Sarcasm
6,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,Fact-Checking,,,,,Fact-Checking,,,,TRUE,Fact-Checking,Fact-Checking,Fact-Checking,Fact-Checking,Warning of Consequences
7,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don't have to choose, it's OK to hate them both.",We do have to choose. It's ok to accept them both.,"Positive Tone, Empathy, and Affiliation",,,,,"Positive Tone, Empathy, and Affiliation",,,,TRUE,"Positive Tone, Empathy, and Affiliation","Positive Tone, Empathy, and Affiliation","Positive Tone, Empathy, and Affiliation",Denouncing,Questioning
8,"This is why women do not belong in politics, if a man complained like them, he'd be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics","Positive Tone, Empathy, and Affiliation",,,,,"Positive Tone, Empathy, and Affiliation",,,,TRUE,Fact-Checking,Denouncing,"Positive Tone, Empathy, and Affiliation","Positive Tone, Empathy, and Affiliation",
9,"UK Education Secretary: 'All children from the age of 4 will have mandatory lessons on same sex relationships.' - This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.",Fact-Checking,,"Positive Tone, Empathy, and Affiliation",,,"Positive Tone, Empathy, and Affiliation",Fact-Checking,,,FALSE,Fact-Checking,"Positive Tone, Empathy, and Affiliation",Fact-Checking,Fact-Checking,
10,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"The US is the second most polluting country in the world - as the world's biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",Pointing Out Hypocrisy or Contradictions,,"Positive Tone, Empathy, and Affiliation",,,Pointing Out Hypocrisy or Contradictions,,,,TRUE,Fact-Checking,Fact-Checking,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,
11,"The UK Government recently published a paper on 'Online Harms' - in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.,Fact-Checking,,Humour/Sarcasm,,,Humour/Sarcasm,,,,FALSE,Denouncing,Warning of Consequences,Humour/Sarcasm,Warning of Consequences,Screenshot
12,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","Soft and emotional? You must have never heard of the likes of Rosa Parks, Emmeline Pankhurst and Florence Nightingale, then.",Pointing Out Hypocrisy or Contradictions,,,,,Fact-Checking,,,,FALSE,Pointing Out Hypocrisy or Contradictions,Fact-Checking,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,
13,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"People reading stories to children, teaching them about the world?",Pointing Out Hypocrisy or Contradictions,,,,,Pointing Out Hypocrisy or Contradictions,,,,TRUE,Pointing Out Hypocrisy or Contradictions,Denouncing,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,
14,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","maybe the roots of white supremacy deriving from centuries of mass colonisation, slavery and domination over others, are the reason that white supremacy is such a problem.",Fact-Checking,,Pointing Out Hypocrisy or Contradictions,,,Pointing Out Hypocrisy or Contradictions,,,,FALSE,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,Fact-Checking,
15,"The UK Government recently published a paper on 'Online Harms' - in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",My reading of the Online harms bill is that is seeks to ensure that people are able to conduct their lives online and exercise their right to free speech without suffering harm and abuse while they do so.,Fact-Checking,,,,,Fact-Checking,,,,TRUE,Fact-Checking,"Positive Tone, Empathy, and Affiliation",Fact-Checking,Fact-Checking,
16,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",If you personally had some distant Spanish or Jewish heritage and you identified more as American surely that doesn't mean that you can't be an American patriot?,Pointing Out Hypocrisy or Contradictions,,,,,Pointing Out Hypocrisy or Contradictions,,,,TRUE,Pointing Out Hypocrisy or Contradictions,Fact-Checking,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,
17,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"If the Jewish community was controlling these kind of industries, they would surely make a high priority of Jewish concerns? But there's so many anti-Israel narratives in the American media. So this doesn't make sense.",Pointing Out Hypocrisy or Contradictions,,,,,Pointing Out Hypocrisy or Contradictions,,,,TRUE,Pointing Out Hypocrisy or Contradictions,Fact-Checking,Pointing Out Hypocrisy or Contradictions,Pointing Out Hypocrisy or Contradictions,
